Precio	Kilometraje	Modelo	Tipo	Cilindrada	Potencia	Puertas	Crucero	Sonido	Piel
20698.08	2992	Buick	Sedan	6	3.8	4	1	0	1
20099.26	10036	Buick	Sedan	6	3.8	4	1	1	1
18145.13	18339	Buick	Sedan	6	3.8	4	1	1	0
17944.86	19592	Buick	Sedan	6	3.8	4	1	0	0
19027.86	21797	Buick	Sedan	6	3.8	4	1	0	1
18348.90	23852	Buick	Sedan	6	3.8	4	1	1	0
17750.88	25040	Buick	Sedan	6	3.8	4	1	1	0
17772.97	25052	Buick	Sedan	6	3.8	4	1	1	0
17394.02	25464	Buick	Sedan	6	3.8	4	1	1	0
17645.75	27830	Buick	Sedan	6	3.8	4	1	1	1
21908.37	17353	Buick	Sedan	6	3.8	4	1	0	0
21956.34	17787	Buick	Sedan	6	3.8	4	1	1	0
21646.12	19562	Buick	Sedan	6	3.8	4	1	1	1
21575.46	20137	Buick	Sedan	6	3.8	4	1	1	0
20952.22	20158	Buick	Sedan	6	3.8	4	1	1	0
21562.05	23767	Buick	Sedan	6	3.8	4	1	0	1
19981.13	24323	Buick	Sedan	6	3.8	4	1	1	0
19425.85	27839	Buick	Sedan	6	3.8	4	1	1	0
19191.99	29187	Buick	Sedan	6	3.8	4	1	1	1
19641.74	31324	Buick	Sedan	6	3.8	4	1	1	1
25589.98	2308	Buick	Sedan	6	3.8	4	1	1	0
25098.63	10014	Buick	Sedan	6	3.8	4	1	1	0
23420.71	18910	Buick	Sedan	6	3.8	4	1	0	1
22661.05	20105	Buick	Sedan	6	3.8	4	1	0	0
23493.08	20453	Buick	Sedan	6	3.8	4	1	1	0
22435.20	22287	Buick	Sedan	6	3.8	4	1	1	1
21878.12	23237	Buick	Sedan	6	3.8	4	1	1	0
23077.57	23798	Buick	Sedan	6	3.8	4	1	0	1
21698.01	25489	Buick	Sedan	6	3.8	4	1	1	1
21831.82	25564	Buick	Sedan	6	3.8	4	1	1	1
26831.19	4695	Buick	Sedan	6	3.8	4	1	1	0
26060.34	9795	Buick	Sedan	6	3.8	4	1	1	0
26781.81	12052	Buick	Sedan	6	3.8	4	1	1	0
26302.07	13050	Buick	Sedan	6	3.8	4	1	1	0
26190.27	17335	Buick	Sedan	6	3.8	4	1	0	1
25508.21	17480	Buick	Sedan	6	3.8	4	1	1	0
23348.02	24027	Buick	Sedan	6	3.8	4	1	0	1
23406.69	25387	Buick	Sedan	6	3.8	4	1	0	1
23159.54	25869	Buick	Sedan	6	3.8	4	1	0	0
21536.74	37128	Buick	Sedan	6	3.8	4	1	1	1
51154.05	2202	Cadillac	Sedan	8	5.7	4	1	1	1
49248.16	6685	Cadillac	Sedan	8	5.7	4	1	0	1
46747.67	15343	Cadillac	Sedan	8	5.7	4	1	1	1
44130.62	21341	Cadillac	Sedan	8	5.7	4	1	0	1
44084.91	21367	Cadillac	Sedan	8	5.7	4	1	1	1
43892.47	23371	Cadillac	Sedan	8	5.7	4	1	0	1
44300.64	23751	Cadillac	Sedan	8	5.7	4	1	0	1
42677.60	24052	Cadillac	Sedan	8	5.7	4	1	0	1
43374.05	25199	Cadillac	Sedan	8	5.7	4	1	1	1
40619.07	30082	Cadillac	Sedan	8	5.7	4	1	1	1
33417.97	6598	Cadillac	Sedan	6	2.8	4	1	1	1
30957.08	10625	Cadillac	Sedan	6	2.8	4	1	1	1
31431.13	11013	Cadillac	Sedan	6	2.8	4	1	1	1
30781.52	14937	Cadillac	Sedan	6	2.8	4	1	1	1
30646.44	17094	Cadillac	Sedan	6	2.8	4	1	1	1
30792.15	17870	Cadillac	Sedan	6	2.8	4	1	1	1
30392.75	18449	Cadillac	Sedan	6	2.8	4	1	1	1
28817.08	21039	Cadillac	Sedan	6	2.8	4	1	0	1
29275.21	21056	Cadillac	Sedan	6	2.8	4	1	1	1
28040.13	27484	Cadillac	Sedan	6	2.8	4	1	1	1
39801.55	14095	Cadillac	Sedan	8	4.6	4	1	0	1
40335.74	14743	Cadillac	Sedan	8	4.6	4	1	0	1
39307.01	16041	Cadillac	Sedan	8	4.6	4	1	0	1
38600.24	17138	Cadillac	Sedan	8	4.6	4	1	0	1
38445.90	18661	Cadillac	Sedan	8	4.6	4	1	0	1
36077.80	21966	Cadillac	Sedan	8	4.6	4	1	0	1
35866.58	24415	Cadillac	Sedan	8	4.6	4	1	1	1
35338.65	25163	Cadillac	Sedan	8	4.6	4	1	0	1
36154.30	25339	Cadillac	Sedan	8	4.6	4	1	1	1
34685.66	25421	Cadillac	Sedan	8	4.6	4	1	0	1
42820.33	5499	Cadillac	Sedan	8	4.6	4	1	0	1
41378.05	8125	Cadillac	Sedan	8	4.6	4	1	0	1
40856.39	12791	Cadillac	Sedan	8	4.6	4	1	1	1
41419.04	14452	Cadillac	Sedan	8	4.6	4	1	0	1
37510.25	21593	Cadillac	Sedan	8	4.6	4	1	0	1
37215.17	22211	Cadillac	Sedan	8	4.6	4	1	0	1
36332.89	25153	Cadillac	Sedan	8	4.6	4	1	0	1
36245.16	26250	Cadillac	Sedan	8	4.6	4	1	1	1
32954.14	36074	Cadillac	Sedan	8	4.6	4	1	0	1
32537.19	41829	Cadillac	Sedan	8	4.6	4	1	1	1
35715.77	6447	Cadillac	Sedan	8	4.6	4	1	0	1
35651.68	10555	Cadillac	Sedan	8	4.6	4	1	1	1
35129.34	11975	Cadillac	Sedan	8	4.6	4	1	1	1
35165.76	13449	Cadillac	Sedan	8	4.6	4	1	1	1
32501.25	17508	Cadillac	Sedan	8	4.6	4	1	0	1
33220.03	18661	Cadillac	Sedan	8	4.6	4	1	0	1
32509.48	20910	Cadillac	Sedan	8	4.6	4	1	0	1
31132.21	23124	Cadillac	Sedan	8	4.6	4	1	1	1
31181.72	26222	Cadillac	Sedan	8	4.6	4	1	0	1
31059.18	27544	Cadillac	Sedan	8	4.6	4	1	1	1
42741.52	2846	Cadillac	Sedan	6	3.6	4	1	0	1
40966.61	7476	Cadillac	Sedan	6	3.6	4	1	1	1
38795.38	13973	Cadillac	Sedan	6	3.6	4	1	1	1
38297.46	16754	Cadillac	Sedan	6	3.6	4	1	0	1
37192.90	19100	Cadillac	Sedan	6	3.6	4	1	0	1
36210.12	21778	Cadillac	Sedan	6	3.6	4	1	0	1
36633.63	22042	Cadillac	Sedan	6	3.6	4	1	1	1
35895.50	23056	Cadillac	Sedan	6	3.6	4	1	1	1
34974.38	25796	Cadillac	Sedan	6	3.6	4	1	1	1
32038.34	35326	Cadillac	Sedan	6	3.6	4	1	1	1
48310.33	788	Cadillac	Sedan	8	4.6	4	1	0	1
48365.98	2616	Cadillac	Sedan	8	4.6	4	1	1	1
45061.95	13829	Cadillac	Sedan	8	4.6	4	1	1	1
44205.88	15104	Cadillac	Sedan	8	4.6	4	1	0	1
42377.96	18581	Cadillac	Sedan	8	4.6	4	1	0	1
41671.58	20575	Cadillac	Sedan	8	4.6	4	1	0	1
41516.43	23861	Cadillac	Sedan	8	4.6	4	1	1	1
41053.48	25717	Cadillac	Sedan	8	4.6	4	1	1	1
38208.50	31303	Cadillac	Sedan	8	4.6	4	1	1	1
39072.39	31587	Cadillac	Sedan	8	4.6	4	1	0	1
70755.47	583	Cadillac	Convertible	8	4.6	2	1	1	1
68566.19	6420	Cadillac	Convertible	8	4.6	2	1	1	1
69133.73	7892	Cadillac	Convertible	8	4.6	2	1	1	1
66374.31	12021	Cadillac	Convertible	8	4.6	2	1	1	1
65281.48	15600	Cadillac	Convertible	8	4.6	2	1	1	1
63913.12	18200	Cadillac	Convertible	8	4.6	2	1	1	1
60567.55	23193	Cadillac	Convertible	8	4.6	2	1	1	1
57154.44	29260	Cadillac	Convertible	8	4.6	2	1	1	1
55639.09	31805	Cadillac	Convertible	8	4.6	2	1	0	1
52001.99	42691	Cadillac	Convertible	8	4.6	2	1	1	1
12146.19	10011	Chevrolet	Hatchback	4	1.6	4	0	0	1
12163.82	12101	Chevrolet	Hatchback	4	1.6	4	0	0	1
11472.02	19699	Chevrolet	Hatchback	4	1.6	4	0	0	1
11017.17	20100	Chevrolet	Hatchback	4	1.6	4	0	1	0
11096.86	20334	Chevrolet	Hatchback	4	1.6	4	1	0	0
10386.04	22225	Chevrolet	Hatchback	4	1.6	4	0	0	0
11137.05	22484	Chevrolet	Hatchback	4	1.6	4	0	1	1
11045.11	24568	Chevrolet	Hatchback	4	1.6	4	1	0	1
10777.05	27906	Chevrolet	Hatchback	4	1.6	4	0	0	0
9928.19	29680	Chevrolet	Hatchback	4	1.6	4	0	0	1
12649.11	3629	Chevrolet	Sedan	4	1.6	4	0	1	0
12314.59	4142	Chevrolet	Sedan	4	1.6	4	0	1	0
11318.01	11156	Chevrolet	Sedan	4	1.6	4	0	1	1
12409.95	11981	Chevrolet	Sedan	4	1.6	4	1	1	1
11555.27	13404	Chevrolet	Sedan	4	1.6	4	1	1	0
11700.11	15253	Chevrolet	Sedan	4	1.6	4	1	0	0
11215.02	19945	Chevrolet	Sedan	4	1.6	4	0	0	0
10144.95	23963	Chevrolet	Sedan	4	1.6	4	1	1	0
10491.08	30948	Chevrolet	Sedan	4	1.6	4	0	1	0
9954.05	37345	Chevrolet	Sedan	4	1.6	4	0	1	1
11031.13	20156	Chevrolet	Hatchback	4	1.6	4	0	1	1
11343.05	20186	Chevrolet	Hatchback	4	1.6	4	1	1	1
11391.21	21421	Chevrolet	Hatchback	4	1.6	4	0	1	1
11247.86	21427	Chevrolet	Hatchback	4	1.6	4	1	1	1
10921.95	23119	Chevrolet	Hatchback	4	1.6	4	0	1	1
11179.95	23121	Chevrolet	Hatchback	4	1.6	4	0	1	1
11394.89	25107	Chevrolet	Hatchback	4	1.6	4	0	1	1
11070.06	25476	Chevrolet	Hatchback	4	1.6	4	0	1	1
11013.87	25746	Chevrolet	Hatchback	4	1.6	4	1	1	1
11115.01	30056	Chevrolet	Hatchback	4	1.6	4	1	1	1
11918.46	7278	Chevrolet	Sedan	4	1.6	4	0	0	0
12408.81	10213	Chevrolet	Sedan	4	1.6	4	0	0	1
11302.90	14627	Chevrolet	Sedan	4	1.6	4	0	1	0
11615.02	19014	Chevrolet	Sedan	4	1.6	4	0	1	1
10805.13	21013	Chevrolet	Sedan	4	1.6	4	1	1	1
11169.92	22380	Chevrolet	Sedan	4	1.6	4	0	1	0
10770.11	25065	Chevrolet	Sedan	4	1.6	4	0	1	0
10872.01	25869	Chevrolet	Sedan	4	1.6	4	0	0	0
10921.95	27776	Chevrolet	Sedan	4	1.6	4	1	0	0
9919.05	34621	Chevrolet	Sedan	4	1.6	4	0	1	0
10813.34	266	Chevrolet	Hatchback	4	1.6	4	1	0	1
11167.86	4716	Chevrolet	Hatchback	4	1.6	4	1	1	0
10897.08	6699	Chevrolet	Hatchback	4	1.6	4	0	1	1
10106.02	14200	Chevrolet	Hatchback	4	1.6	4	1	0	0
10354.04	14521	Chevrolet	Hatchback	4	1.6	4	0	1	0
10287.98	16521	Chevrolet	Hatchback	4	1.6	4	1	1	1
9720.98	20836	Chevrolet	Hatchback	4	1.6	4	1	1	0
9506.05	22169	Chevrolet	Hatchback	4	1.6	4	0	0	1
9789.04	22986	Chevrolet	Hatchback	4	1.6	4	0	1	1
9220.83	29992	Chevrolet	Hatchback	4	1.6	4	1	0	1
10971.10	7091	Chevrolet	Sedan	4	1.6	4	1	0	0
10315.02	14438	Chevrolet	Sedan	4	1.6	4	0	0	1
9654.06	19183	Chevrolet	Sedan	4	1.6	4	0	0	0
9563.79	19273	Chevrolet	Sedan	4	1.6	4	1	1	0
9665.85	19565	Chevrolet	Sedan	4	1.6	4	0	1	1
9482.22	24842	Chevrolet	Sedan	4	1.6	4	1	0	0
8638.93	25216	Chevrolet	Sedan	4	1.6	4	0	0	0
9041.91	26191	Chevrolet	Sedan	4	1.6	4	0	0	1
8870.95	32914	Chevrolet	Sedan	4	1.6	4	1	1	0
8769.00	35299	Chevrolet	Sedan	4	1.6	4	0	0	0
13007.98	7372	Chevrolet	Coupe	4	2.2	2	1	1	1
13041.87	13607	Chevrolet	Coupe	4	2.2	2	0	1	1
12045.92	19136	Chevrolet	Coupe	4	2.2	2	0	1	1
12469.53	19712	Chevrolet	Coupe	4	2.2	2	0	1	1
11539.85	22405	Chevrolet	Coupe	4	2.2	2	0	1	1
11726.00	23103	Chevrolet	Coupe	4	2.2	2	0	1	1
12207.87	23512	Chevrolet	Coupe	4	2.2	2	1	1	1
11203.15	27364	Chevrolet	Coupe	4	2.2	2	1	1	1
10788.97	31436	Chevrolet	Coupe	4	2.2	2	1	1	1
11149.62	34447	Chevrolet	Coupe	4	2.2	2	1	1	1
14584.45	1160	Chevrolet	Coupe	4	2.2	2	1	1	1
13681.70	10210	Chevrolet	Coupe	4	2.2	2	1	1	1
13446.21	17741	Chevrolet	Coupe	4	2.2	2	0	1	1
12327.64	19347	Chevrolet	Coupe	4	2.2	2	0	1	1
12274.96	19612	Chevrolet	Coupe	4	2.2	2	1	1	1
12630.78	22571	Chevrolet	Coupe	4	2.2	2	1	1	1
12425.39	22771	Chevrolet	Coupe	4	2.2	2	0	1	1
12319.70	24568	Chevrolet	Coupe	4	2.2	2	1	1	1
12549.89	25816	Chevrolet	Coupe	4	2.2	2	0	1	1
12234.89	30297	Chevrolet	Coupe	4	2.2	2	1	1	1
14894.98	2464	Chevrolet	Sedan	4	2.2	4	0	1	1
14198.09	11322	Chevrolet	Sedan	4	2.2	4	1	1	1
14678.11	11488	Chevrolet	Sedan	4	2.2	4	1	1	1
13167.70	14630	Chevrolet	Sedan	4	2.2	4	0	1	1
13471.01	18910	Chevrolet	Sedan	4	2.2	4	1	1	1
12573.90	25048	Chevrolet	Sedan	4	2.2	4	1	1	1
12383.40	25069	Chevrolet	Sedan	4	2.2	4	1	1	1
13230.92	25862	Chevrolet	Sedan	4	2.2	4	0	1	1
11080.52	36855	Chevrolet	Sedan	4	2.2	4	0	1	1
11328.96	39946	Chevrolet	Sedan	4	2.2	4	1	1	1
15053.93	4652	Chevrolet	Coupe	4	2.2	2	1	1	1
14397.93	5189	Chevrolet	Coupe	4	2.2	2	0	1	1
14642.32	6224	Chevrolet	Coupe	4	2.2	2	0	1	1
13464.80	14231	Chevrolet	Coupe	4	2.2	2	1	1	1
13678.86	17971	Chevrolet	Coupe	4	2.2	2	1	1	1
12507.49	19715	Chevrolet	Coupe	4	2.2	2	1	1	1
13141.05	19898	Chevrolet	Coupe	4	2.2	2	1	1	1
13594.09	20682	Chevrolet	Coupe	4	2.2	2	1	1	1
12733.86	21386	Chevrolet	Coupe	4	2.2	2	1	1	1
12230.10	28408	Chevrolet	Coupe	4	2.2	2	0	1	1
14222.31	8427	Chevrolet	Sedan	4	2.2	4	0	1	1
14266.91	8615	Chevrolet	Sedan	4	2.2	4	0	1	1
14255.75	16958	Chevrolet	Sedan	4	2.2	4	0	1	1
13762.90	18040	Chevrolet	Sedan	4	2.2	4	1	1	1
14275.13	18533	Chevrolet	Sedan	4	2.2	4	1	1	1
13688.00	18766	Chevrolet	Sedan	4	2.2	4	1	1	1
13308.83	20043	Chevrolet	Sedan	4	2.2	4	0	1	1
14145.88	20512	Chevrolet	Sedan	4	2.2	4	1	1	1
12944.94	21684	Chevrolet	Sedan	4	2.2	4	0	1	1
12846.06	27560	Chevrolet	Sedan	4	2.2	4	1	1	1
14061.12	4922	Chevrolet	Sedan	4	2.2	4	0	1	1
13072.84	14311	Chevrolet	Sedan	4	2.2	4	0	1	1
11699.03	19816	Chevrolet	Sedan	4	2.2	4	1	1	1
12257.16	21492	Chevrolet	Sedan	4	2.2	4	1	1	1
11574.17	21525	Chevrolet	Sedan	4	2.2	4	0	1	1
11539.05	24163	Chevrolet	Sedan	4	2.2	4	0	1	1
12243.06	25014	Chevrolet	Sedan	4	2.2	4	1	1	1
11671.86	25727	Chevrolet	Sedan	4	2.2	4	1	1	1
11464.63	29410	Chevrolet	Sedan	4	2.2	4	1	1	1
10546.78	38866	Chevrolet	Sedan	4	2.2	4	1	1	1
15553.21	7695	Chevrolet	Sedan	4	2.2	4	0	1	1
15047.00	12305	Chevrolet	Sedan	4	2.2	4	1	1	1
13540.04	17343	Chevrolet	Sedan	4	2.2	4	0	1	1
14077.97	17445	Chevrolet	Sedan	4	2.2	4	0	1	1
12981.95	20309	Chevrolet	Sedan	4	2.2	4	1	1	1
13436.00	20530	Chevrolet	Sedan	4	2.2	4	0	1	1
13161.94	21145	Chevrolet	Sedan	4	2.2	4	1	1	1
14220.01	23069	Chevrolet	Sedan	4	2.2	4	1	1	1
12379.13	31199	Chevrolet	Sedan	4	2.2	4	1	1	1
11581.91	36566	Chevrolet	Sedan	4	2.2	4	0	1	1
14023.94	13776	Chevrolet	Coupe	4	2.2	2	0	1	1
12810.91	19461	Chevrolet	Coupe	4	2.2	2	1	1	1
13135.91	21796	Chevrolet	Coupe	4	2.2	2	1	1	1
13106.90	21910	Chevrolet	Coupe	4	2.2	2	0	1	1
12845.17	22382	Chevrolet	Coupe	4	2.2	2	1	1	1
12570.14	22479	Chevrolet	Coupe	4	2.2	2	0	1	1
12897.93	23200	Chevrolet	Coupe	4	2.2	2	1	1	1
11961.62	27394	Chevrolet	Coupe	4	2.2	2	1	1	1
12706.91	27521	Chevrolet	Coupe	4	2.2	2	1	1	1
12487.05	28492	Chevrolet	Coupe	4	2.2	2	0	1	1
15635.80	1169	Chevrolet	Coupe	4	2.2	2	0	1	1
15747.80	6048	Chevrolet	Coupe	4	2.2	2	0	1	1
14619.08	15768	Chevrolet	Coupe	4	2.2	2	1	1	1
14185.02	20374	Chevrolet	Coupe	4	2.2	2	0	1	1
13699.04	25845	Chevrolet	Coupe	4	2.2	2	1	1	1
13310.06	26143	Chevrolet	Coupe	4	2.2	2	1	1	1
13530.07	27249	Chevrolet	Coupe	4	2.2	2	1	1	1
13019.07	27942	Chevrolet	Coupe	4	2.2	2	1	1	1
12684.99	29891	Chevrolet	Coupe	4	2.2	2	1	1	1
12553.07	32844	Chevrolet	Coupe	4	2.2	2	1	1	1
14997.88	8880	Chevrolet	Sedan	4	2.2	4	0	1	1
14847.04	12980	Chevrolet	Sedan	4	2.2	4	0	1	1
15128.99	13828	Chevrolet	Sedan	4	2.2	4	1	1	1
15000.99	14504	Chevrolet	Sedan	4	2.2	4	0	1	1
14593.85	18790	Chevrolet	Sedan	4	2.2	4	0	1	1
14304.74	21128	Chevrolet	Sedan	4	2.2	4	0	1	1
13688.95	21611	Chevrolet	Sedan	4	2.2	4	1	1	1
13744.85	23748	Chevrolet	Sedan	4	2.2	4	0	1	1
13545.03	27431	Chevrolet	Sedan	4	2.2	4	0	1	1
12741.19	34815	Chevrolet	Sedan	4	2.2	4	0	1	1
16116.84	865	Chevrolet	Sedan	4	2.2	4	1	1	1
16428.58	9882	Chevrolet	Sedan	4	2.2	4	0	1	1
15084.82	14824	Chevrolet	Sedan	4	2.2	4	1	1	1
15163.17	17158	Chevrolet	Sedan	4	2.2	4	1	1	1
14897.04	18210	Chevrolet	Sedan	4	2.2	4	1	1	1
14508.75	18910	Chevrolet	Sedan	4	2.2	4	0	1	1
14418.17	19818	Chevrolet	Sedan	4	2.2	4	0	1	1
14191.88	21181	Chevrolet	Sedan	4	2.2	4	1	1	1
14401.91	21527	Chevrolet	Sedan	4	2.2	4	0	1	1
14175.88	21627	Chevrolet	Sedan	4	2.2	4	0	1	1
14429.79	6114	Chevrolet	Sedan	4	2.2	4	1	1	1
14696.03	6709	Chevrolet	Sedan	4	2.2	4	1	1	1
14582.77	7115	Chevrolet	Sedan	4	2.2	4	1	1	1
14194.82	9561	Chevrolet	Sedan	4	2.2	4	0	1	1
14072.14	15233	Chevrolet	Sedan	4	2.2	4	0	1	1
13994.91	17270	Chevrolet	Sedan	4	2.2	4	0	1	1
13830.25	17594	Chevrolet	Sedan	4	2.2	4	0	1	1
13159.82	22740	Chevrolet	Sedan	4	2.2	4	1	1	1
12495.97	26204	Chevrolet	Sedan	4	2.2	4	0	1	1
12678.85	28683	Chevrolet	Sedan	4	2.2	4	0	1	1
46732.61	3625	Chevrolet	Convertible	8	6	2	1	1	1
47065.21	5239	Chevrolet	Convertible	8	6	2	1	1	1
44749.69	12115	Chevrolet	Convertible	8	6	2	1	0	1
42773.03	14546	Chevrolet	Convertible	8	6	2	1	1	1
41371.38	20000	Chevrolet	Convertible	8	6	2	1	0	1
39547.59	23826	Chevrolet	Convertible	8	6	2	1	1	1
39691.73	25169	Chevrolet	Convertible	8	6	2	1	1	1
38824.87	25960	Chevrolet	Convertible	8	6	2	1	0	1
36970.90	30502	Chevrolet	Convertible	8	6	2	1	1	1
37288.94	32039	Chevrolet	Convertible	8	6	2	1	1	1
39875.85	7054	Chevrolet	Coupe	8	6	2	1	0	1
39713.67	8967	Chevrolet	Coupe	8	6	2	1	1	1
38990.61	9410	Chevrolet	Coupe	8	6	2	1	1	1
39092.19	10717	Chevrolet	Coupe	8	6	2	1	1	1
39365.88	11619	Chevrolet	Coupe	8	6	2	1	1	1
35261.44	21350	Chevrolet	Coupe	8	6	2	1	1	1
35575.42	22740	Chevrolet	Coupe	8	6	2	1	0	1
34297.31	24259	Chevrolet	Coupe	8	6	2	1	0	1
34739.21	25747	Chevrolet	Coupe	8	6	2	1	0	1
31186.74	34191	Chevrolet	Coupe	8	6	2	1	0	1
21757.05	1853	Chevrolet	Sedan	6	3.8	4	1	0	0
19528.10	14115	Chevrolet	Sedan	6	3.8	4	1	1	0
19075.68	18198	Chevrolet	Sedan	6	3.8	4	1	0	1
19409.75	18795	Chevrolet	Sedan	6	3.8	4	1	1	1
18527.21	19874	Chevrolet	Sedan	6	3.8	4	1	1	0
18912.98	21512	Chevrolet	Sedan	6	3.8	4	1	1	0
17839.80	25453	Chevrolet	Sedan	6	3.8	4	1	0	1
17789.35	26980	Chevrolet	Sedan	6	3.8	4	1	1	0
17294.18	29368	Chevrolet	Sedan	6	3.8	4	1	1	0
18083.40	29420	Chevrolet	Sedan	6	3.8	4	1	1	1
20021.20	1787	Chevrolet	Sedan	6	3.8	4	1	0	0
18835.19	8211	Chevrolet	Sedan	6	3.8	4	1	0	1
18727.51	14054	Chevrolet	Sedan	6	3.8	4	1	1	1
16805.06	19498	Chevrolet	Sedan	6	3.8	4	1	0	0
17154.58	21567	Chevrolet	Sedan	6	3.8	4	1	0	1
16644.09	22383	Chevrolet	Sedan	6	3.8	4	1	1	1
15951.81	26070	Chevrolet	Sedan	6	3.8	4	1	1	1
16508.59	27460	Chevrolet	Sedan	6	3.8	4	1	1	1
15832.52	31202	Chevrolet	Sedan	6	3.8	4	1	1	1
15554.28	33357	Chevrolet	Sedan	6	3.8	4	1	1	1
25948.96	636	Chevrolet	Sedan	6	3.8	4	1	0	0
27714.05	5379	Chevrolet	Sedan	6	3.8	4	1	1	0
25097.47	14461	Chevrolet	Sedan	6	3.8	4	1	1	1
24809.04	16111	Chevrolet	Sedan	6	3.8	4	1	0	0
23345.33	22964	Chevrolet	Sedan	6	3.8	4	1	1	1
22894.44	26272	Chevrolet	Sedan	6	3.8	4	1	1	1
22064.29	27384	Chevrolet	Sedan	6	3.8	4	1	1	1
23151.55	27940	Chevrolet	Sedan	6	3.8	4	1	0	0
22120.76	28242	Chevrolet	Sedan	6	3.8	4	1	1	1
20294.58	33892	Chevrolet	Sedan	6	3.8	4	1	0	0
18957.89	5936	Chevrolet	Hatchback	6	3.5	4	0	1	1
18950.91	8687	Chevrolet	Hatchback	6	3.5	4	0	1	1
17891.63	17020	Chevrolet	Hatchback	6	3.5	4	0	1	1
17801.23	19386	Chevrolet	Hatchback	6	3.5	4	1	1	1
16723.99	19740	Chevrolet	Hatchback	6	3.5	4	1	1	1
16744.03	21829	Chevrolet	Hatchback	6	3.5	4	0	1	1
16825.19	23460	Chevrolet	Hatchback	6	3.5	4	0	1	1
16543.98	24583	Chevrolet	Hatchback	6	3.5	4	0	1	1
16143.96	26532	Chevrolet	Hatchback	6	3.5	4	1	1	1
14914.20	33906	Chevrolet	Hatchback	6	3.5	4	0	1	1
19164.61	1480	Chevrolet	Sedan	6	3.5	4	1	1	1
18800.96	7961	Chevrolet	Sedan	6	3.5	4	0	1	1
17458.22	15144	Chevrolet	Sedan	6	3.5	4	1	1	1
17158.92	21417	Chevrolet	Sedan	6	3.5	4	0	1	1
16472.90	21675	Chevrolet	Sedan	6	3.5	4	1	1	1
16993.78	23621	Chevrolet	Sedan	6	3.5	4	0	1	1
16300.47	25697	Chevrolet	Sedan	6	3.5	4	1	1	1
15623.20	27476	Chevrolet	Sedan	6	3.5	4	0	1	1
15138.40	32462	Chevrolet	Sedan	6	3.5	4	0	1	1
15233.16	32535	Chevrolet	Sedan	6	3.5	4	0	1	1
19471.97	6608	Chevrolet	Hatchback	6	3.5	4	1	1	1
18009.85	15190	Chevrolet	Hatchback	6	3.5	4	0	1	1
18273.01	16335	Chevrolet	Hatchback	6	3.5	4	0	1	1
18311.76	17441	Chevrolet	Hatchback	6	3.5	4	0	1	1
17553.75	18451	Chevrolet	Hatchback	6	3.5	4	0	1	1
18004.87	18771	Chevrolet	Hatchback	6	3.5	4	0	1	1
17663.22	19490	Chevrolet	Hatchback	6	3.5	4	1	1	1
17115.12	24461	Chevrolet	Hatchback	6	3.5	4	0	1	1
